SubjectName HK,SessionNumber 2,ExperimentName sternbergComp,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Trial,NSPrac-OnsetError,NSPrac-OnsetTime,ProbePrac-OnsetError,ProbePrac-OnsetTime,ProbePrac-Mouse-IsCorrect,ProbePrac-Mouse-Responses,ProbePrac-Mouse-ResponseTime,TrialTable-Condition,TrialTable-CorrectResponse,TrialTable-NumberSets,TrialTable-Probes
35,0.02,1616407.92,0.16,1621441.26,1,Yes,834.45,8,Yes,8 2 4 1 3 6 7 9 ,3
36,0.01,1622791.26,0.16,1627824.6,1,Yes,667.16,2,Yes,5 7 ,5
37,0.01,1629007.94,0.16,1634041.28,1,Yes,674.56,2,Yes,1 7 ,1
38,0.01,1635224.62,0.17,1640257.96,1,No,857.94,4,No,6 1 5 7 ,9
39,0.02,1641624.63,0.17,1646657.97,1,Yes,1017.91,2,Yes,8 7 ,7
40,0.01,1648191.31,0.17,1653224.65,1,Yes,715.26,6,Yes,8 5 1 6 3 4 ,4
41,0.01,1654441.32,0.16,1659474.66,1,No,953.35,4,No,1 2 8 7 ,6
42,0.01,1660941.33,0.16,1665974.68,1,No,1093.37,6,No,3 1 5 4 2 6 ,7
43,0.01,1667574.68,0.15,1672608.02,1,Yes,1068.07,2,Yes,3 6 ,3
44,0.01,1674191.36,0.17,1679224.7,1,No,2051.45,8,No,9 6 5 8 7 4 2 3 ,1
45,0.01,1681791.37,0.15,1686824.72,1,Yes,795.46,2,Yes,7 2 ,2
46,0.01,1688124.72,0.16,1693158.06,1,No,646.12,2,No,2 8 ,5
47,0.01,1694308.06,0.16,1699341.41,1,No,870.8,2,No,8 1 ,2
48,0.01,1700724.74,0.17,1705758.09,1,No,878.13,6,No,4 5 3 6 2 8 ,9
49,0.03,1707141.43,0.16,1712174.76,1,No,917.57,8,No,6 8 7 5 4 2 1 3 ,9
50,0.01,1713608.1,0.17,1718641.44,1,No,836.13,2,No,9 5 ,4
51,0.01,1719991.45,0.16,1725024.79,1,No,1635.65,6,No,4 5 6 9 3 2 ,8
52,0.01,1727174.79,0.16,1732208.14,1,Yes,1492.26,6,Yes,6 8 5 3 2 9 ,8
53,0.01,1734208.14,0.16,1739241.49,1,No,1402.99,6,No,5 3 8 9 6 7 ,1
54,0.01,1741158.15,0.16,1746191.5,1,No,829.04,4,No,1 2 9 6 ,5
55,0.01,1747524.83,0.16,1752558.17,1,Yes,910.41,6,Yes,8 1 9 6 4 3 ,4
56,0.01,1753974.84,0.16,1759008.19,1,Yes,748.43,6,Yes,4 1 5 3 9 7 ,5
57,0.01,1760258.19,0.16,1765291.53,1,No,1169.13,6,No,2 7 4 1 8 5 ,9
58,0.01,1766974.87,0.16,1772008.21,1,Yes,628.49,4,Yes,9 6 1 2 ,9
59,0.01,1773141.55,0.16,1778174.89,1,No,781.78,4,No,6 7 1 5 ,2
60,0.01,1779458.23,0.17,1784491.57,1,Yes,761.2,4,Yes,3 5 6 2 ,6
61,0.01,1785758.24,0.16,1790791.58,1,Yes,829.24,2,Yes,6 4 ,6
62,0.01,1792124.92,0.17,1797158.26,1,No,894.56,4,No,8 2 3 4 ,7
63,0.02,1798558.26,0.16,1803591.61,1,No,933.22,2,No,2 7 ,4
64,0.02,1805041.61,0.16,1810074.95,1,No,1905.99,8,No,8 1 3 9 6 2 5 4 ,7
65,0.01,1812491.62,0.16,1817524.97,1,No,1880.02,8,No,7 3 2 8 5 4 1 9 ,6
66,0.01,1819908.31,0.16,1824941.65,1,No,663.38,6,No,1 5 3 2 7 9 ,8
67,0.01,1826108.32,0.16,1831141.66,1,Yes,911.35,8,Yes,6 2 4 3 1 7 8 9 ,7
68,0.01,1832558.33,0.17,1837591.67,1,Yes,1709.42,6,Yes,8 6 1 9 5 7 ,5
69,0.01,1839808.34,0.15,1844841.69,1,No,1003.47,6,No,3 1 7 2 6 9 ,5
70,0.01,1846358.35,0.16,1851391.7,1,Yes,1053.47,8,Yes,9 8 5 1 6 4 7 3 ,6
71,0.01,1852958.37,0.15,1857991.71,1,No,757.52,2,No,5 7 ,8
72,0.01,1859258.38,0.17,1864291.72,1,Yes,1913.55,8,Yes,2 8 1 5 6 4 9 7 ,5
73,0.02,1866708.39,0.16,1871741.74,1,Yes,655.56,2,Yes,6 3 ,3
74,0.01,1872908.41,0.16,1877941.75,1,No,727.53,4,No,8 7 1 3 ,6
75,0.01,1879175.08,0.16,1884208.43,1,Yes,844.88,4,Yes,9 8 6 7 ,8
76,0.01,1885558.43,0.16,1890591.77,1,Yes,885.64,2,Yes,2 3 ,3
77,0.01,1891991.78,0.16,1897025.12,1,Yes,1230.54,6,Yes,7 1 8 9 2 3 ,2
78,0.01,1898758.46,0.16,1903791.8,1,Yes,1333.69,6,Yes,1 5 4 2 8 6 ,4
79,0.01,1905641.8,0.15,1910675.14,1,No,970.33,2,No,1 9 ,4
80,0.01,1912158.48,0.16,1917191.82,1,No,805.7,2,No,6 5 ,8
81,0.01,1918508.49,0.17,1923541.84,1,Yes,735.77,4,Yes,4 3 2 5 ,4
82,0.02,1924791.84,0.17,1929825.18,1,No,1020.46,2,No,6 9 ,3
83,0.02,1931358.52,0.16,1936391.86,1,Yes,877.83,6,Yes,7 2 3 8 9 1 ,3
84,0.03,1937775.2,0.16,1942808.54,1,Yes,1581.14,8,Yes,8 9 4 1 7 6 3 2 ,7
85,0.01,1944891.88,0.16,1949925.22,1,Yes,632.56,2,Yes,9 3 ,3
86,0.01,1951058.56,0.17,1956091.9,1,Yes,929.92,6,Yes,5 9 1 7 8 4 ,4
87,0.01,1957525.23,0.16,1962558.58,1,No,2023.26,6,No,9 1 8 3 2 5 ,4
