SubjectName 012,SessionNumber 1,ExperimentName sternbergComp,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Trial,NSPrac-OnsetError,NSPrac-OnsetTime,ProbePrac-OnsetError,ProbePrac-OnsetTime,ProbePrac-Mouse-IsCorrect,ProbePrac-Mouse-Responses,ProbePrac-Mouse-ResponseTime,TrialTable-Condition,TrialTable-CorrectResponse,TrialTable-NumberSets,TrialTable-Probes
1,0.01,7199.82,0.16,12233.16,1,No,3366.65,4,No,7 2 5 4,3
2,0.01,18149.84,0.16,23183.18,1,No,4496.78,6,No,5 4 7 6 3 1,2
3,0.01,30199.86,0.17,35233.21,0,No,2798.81,6,Yes,1 3 2 5 8 6,3
4,0.01,40566.55,0.16,45599.89,1,Yes,1240.12,2,Yes,2 3,2
5,0.01,49366.57,0.16,54399.91,1,No,1264.16,6,No,1 2 4 7 5 3,6
6,0.01,58199.92,0.16,63233.26,1,No,1342.91,6,No,1 2 4 7 5 3,6
7,0.02,67099.94,0.16,72133.28,1,Yes,914.92,2,Yes,5 7,7
8,0.01,75583.29,0.17,80616.63,1,No,1351.63,2,No,3 1,5
9,0.01,84499.97,0.17,89533.31,1,Yes,1347.01,6,Yes,8 7 9 4 3 6,8
10,0.02,93416.65,0.16,98449.99,1,Yes,1726.41,4,Yes,1 3 8 2,1
11,0.01,102700,0.16,107733.35,1,Yes,1667.11,6,Yes,5 3 7 8 4 1,7
12,0.05,111933.36,0.26,116966.69,1,Yes,953.83,6,Yes,1 3 2 5 8 6,3
13,0.03,120450.04,0.16,125483.38,1,Yes,1461.18,6,Yes,5 3 7 8 4 1,7
14,0.01,129466.72,0.16,134500.06,1,No,1772.52,4,No,5 7 4 1,6
15,0.02,138800.07,0.16,143833.41,1,Yes,1295.23,4,Yes,3 5 8 4,8
16,0.02,147650.09,0.16,152683.43,1,Yes,1005.26,2,Yes,3 9,3
17,0.04,156216.77,0.16,161250.11,1,No,1582.64,6,No,5 4 7 6 3 1,2
18,0.01,165366.79,0.16,170400.13,1,Yes,1256.67,4,Yes,1 8 9 6,8
19,0.01,174183.47,0.16,179216.81,1,No,1488.05,2,No,2 3,8
20,0.01,183233.49,0.16,188266.83,1,Yes,1622.08,6,Yes,8 7 9 4 3 6,8
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Trial,NumberSet-OnsetError,NumberSet-OnsetTime,Probe-OnsetError,Probe-OnsetTime,Probe-Mouse-IsCorrect,Probe-Mouse-Responses,Probe-Mouse-ResponseTime,TrialTable-Condition,TrialTable-CorrectResponse,TrialTable-NumberSets,TrialTable-Probes
1,0.01,216800.22,0.16,221833.56,1,No,1295.55,4,No,6 1 3 4 ,9
2,0.02,223633.57,0.19,228666.91,1,No,1254.27,2,No,2 8 ,5
3,0.01,230433.58,0.25,235466.92,1,Yes,1654.25,8,Yes,3 8 6 4 1 2 9 7 ,2
4,0.02,237633.59,0.16,242666.94,1,No,960.41,2,No,8 6 ,7
5,0.01,244133.61,0.16,249166.95,1,Yes,1850.33,8,Yes,7 9 1 5 8 2 4 6 ,4
6,0.03,251533.62,0.16,256566.96,1,No,1162.4,8,No,7 3 2 8 5 4 1 9 ,6
7,0.01,258233.63,0.23,263266.98,1,No,1182.38,4,No,6 2 8 1 ,5
8,0.01,264950.31,0.16,269983.66,1,Yes,1225.73,2,Yes,7 8 ,8
9,0.02,271716.99,0.15,276750.34,1,Yes,1091.1,4,Yes,8 2 1 9 ,2
10,0.01,278350.34,0.16,283383.68,1,No,1337.81,8,No,7 5 9 3 4 6 8 1 ,2
11,0.02,285233.68,0.15,290267.03,1,Yes,1176.27,2,Yes,7 5 ,5
12,0.02,291950.36,0.17,296983.71,1,No,1097.92,2,No,9 7 ,4
13,0.02,298583.71,0.16,303617.05,1,No,1208.55,2,No,8 2 ,5
14,0.01,305333.72,0.16,310367.07,1,No,970.56,6,No,4 1 8 6 9 3 ,7
15,0.01,311850.4,0.15,316883.75,1,Yes,1189.92,6,Yes,7 1 4 3 9 2 ,3
16,0.02,318583.75,0.16,323617.09,1,No,1098.57,4,No,6 1 5 7 ,9
17,0.02,325217.09,0.16,330250.44,1,Yes,1111.48,6,Yes,6 8 1 9 4 3 ,9
18,0.02,331867.11,0.24,336900.45,1,Yes,877.39,8,Yes,3 2 4 8 1 7 5 6 ,1
19,0.01,338283.79,0.16,343317.13,0,Yes,1124.75,8,No,7 5 8 6 2 4 3 1 ,9
20,0.01,344950.47,0.16,349983.81,1,No,1090.06,8,No,7 5 1 4 2 9 8 3 ,6
21,0.01,351583.81,0.16,356617.16,0,Yes,1976.77,8,No,2 3 4 7 1 8 5 6 ,9
22,0.02,359100.49,0.16,364133.84,1,Yes,1036.16,2,Yes,2 3 ,3
23,0.02,365683.84,0.16,370717.18,1,No,1316.83,2,No,7 6 ,9
24,0.02,372550.52,0.17,377583.86,1,No,1282.19,6,No,1 2 8 4 7 5 ,9
25,0.01,379367.2,0.16,384400.54,1,Yes,1778.74,8,Yes,3 7 6 2 5 8 4 1 ,6
26,0.03,386683.88,0.27,391717.22,1,No,1220.93,4,No,5 8 3 1 ,2
27,0.02,393450.56,0.16,398483.9,1,No,886.27,8,No,5 3 7 2 4 1 8 6 ,9
28,0.01,399883.9,0.25,404917.25,1,No,1036.98,6,No,3 1 7 2 6 9 ,5
29,0.01,406467.25,0.25,411500.59,1,Yes,957.68,2,Yes,2 1 ,2
30,0.01,412967.26,0.17,418000.6,1,Yes,1209.72,4,Yes,2 4 6 5 ,5
31,0.01,419717.28,0.16,424750.62,1,Yes,2003.74,2,Yes,4 2 ,2
32,0.02,427267.29,0.16,432300.63,1,Yes,1253.75,6,Yes,9 1 8 4 7 5 ,4
33,0.04,434067.31,0.16,439100.65,1,Yes,1901.79,4,Yes,3 5 6 4 ,4
34,0.01,441517.32,0.16,446550.66,1,Yes,931.8,2,Yes,6 4 ,6
35,0.01,447984,0.16,453017.34,1,Yes,1185.19,2,Yes,5 4 ,5
36,0.02,454717.34,0.17,459750.69,1,Yes,1011.87,2,Yes,9 3 ,3
37,0.01,461267.36,0.16,466300.7,1,No,1197.9,6,No,1 6 7 2 9 4 ,8
38,0.04,468000.7,0.17,473034.04,1,Yes,1312.61,8,Yes,2 7 8 1 4 5 6 9 ,2
39,0.01,474850.72,0.15,479884.06,1,Yes,950.65,4,Yes,3 5 2 6 ,3
40,0.01,481350.73,0.17,486384.07,1,No,1459.63,6,No,4 5 6 9 3 2 ,8
41,0.01,488350.74,0.16,493384.08,1,Yes,4170.69,6,Yes,8 5 1 6 3 4 ,4
42,0.01,498067.43,0.25,503100.77,1,Yes,1270.04,2,Yes,9 1 ,1
43,0.01,504884.11,0.16,509917.45,1,No,1021.61,4,No,5 3 4 6 ,8
44,0.01,511450.79,0.16,516484.13,1,Yes,1798.77,8,Yes,4 8 5 1 6 9 7 2 ,6
45,0.01,518784.13,0.25,523817.48,1,No,1321.48,6,No,3 7 6 8 9 4 ,2
46,0.01,525650.81,0.24,530684.16,1,Yes,2390.87,8,Yes,2 8 1 5 6 4 9 7 ,5
47,0.01,533584.16,0.16,538617.5,1,No,1537.53,2,No,3 2 ,5
48,0.02,540667.51,0.17,545700.85,1,No,1599.74,4,No,1 7 2 5 ,4
49,0.02,547817.52,0.15,552850.86,1,Yes,2872.26,8,Yes,6 3 1 7 2 8 4 5 ,4
50,0.03,556234.2,0.16,561267.55,1,Yes,4207.66,8,Yes,9 8 5 1 6 4 7 3 ,6
51,0.03,565984.22,0.16,571017.57,0,No,2906.5,8,Yes,8 2 4 1 3 6 7 9 ,3
52,0.01,574434.24,0.16,579467.58,1,Yes,1359.69,4,Yes,6 3 9 4 ,4
53,0.01,581334.25,0.15,586367.59,1,No,1139.72,8,No,6 3 4 2 8 5 1 9 ,7
54,0.01,588017.6,0.17,593050.94,0,No,1577.42,6,Yes,6 8 5 3 2 9 ,8
55,0.01,595134.28,0.16,600167.62,1,No,915.78,2,No,6 9 ,3
56,0.02,601584.29,0.16,606617.64,1,Yes,1233.8,6,Yes,9 2 5 8 1 6 ,1
57,0.01,608367.64,0.15,613400.98,1,No,1522.53,6,No,3 1 5 4 2 6 ,7
58,0.02,615434.32,0.16,620467.66,0,No,4327.88,4,Yes,5 4 7 3 ,5
59,0.01,625301,0.16,630334.35,1,No,1445.23,4,No,1 2 9 6 ,5
60,0.01,632284.35,0.17,637317.69,1,No,1293.93,2,No,9 7 ,2
61,0.01,639117.7,0.16,644151.04,1,Yes,2716.65,4,Yes,3 5 6 2 ,6
62,0.01,647384.38,0.17,652417.72,1,No,1018.01,2,No,9 5 ,4
63,0.01,653951.06,0.16,658984.4,1,No,1171.36,8,No,7 1 9 5 4 3 2 8 ,6
64,0.01,660667.74,0.17,665701.08,1,No,878.81,2,No,1 9 ,4
65,0.02,667084.42,0.16,672117.76,1,No,950.08,6,No,8 3 2 1 9 5 ,4
66,0.02,673584.43,0.17,678617.77,0,No,954.1,6,Yes,4 7 2 6 3 8 ,6
67,0.02,680084.44,0.16,685117.78,1,Yes,3966.17,2,Yes,6 7 ,6
68,0.01,689584.46,0.16,694617.8,0,No,1458.22,6,Yes,7 4 5 3 6 8 ,6
69,0.03,696584.48,0.25,701617.82,1,No,938.19,6,No,1 5 3 2 7 9 ,8
70,0.02,703067.82,0.16,708101.16,1,Yes,1550.89,2,Yes,6 3 ,3
71,0.01,710167.83,0.16,715201.18,1,Yes,1498.94,2,Yes,5 9 ,5
72,0.01,717201.18,0.17,722234.52,1,Yes,1625.62,4,Yes,1 3 4 9 ,3
73,0.02,724367.86,0.23,729401.2,1,Yes,2739,2,Yes,7 2 ,2
74,0.01,732651.21,0.19,737684.55,1,No,1519.68,8,No,5 6 2 1 7 3 9 4 ,8
75,0.02,739717.89,0.26,744751.23,0,No,1821.06,2,Yes,2 3 ,3
76,0.03,747084.57,0.16,752117.91,0,No,1158.43,8,Yes,9 1 4 3 5 2 8 7 ,8
77,0.01,753784.58,0.15,758817.93,1,Yes,914.44,2,Yes,1 3 ,1
78,0.01,760234.59,0.16,765267.94,1,Yes,1328.48,4,Yes,1 5 6 8 ,1
79,0.02,767101.27,0.15,772134.62,1,Yes,1149.95,6,Yes,7 2 3 8 9 1 ,3
80,0.02,773801.29,0.17,778834.63,1,No,1121.86,8,No,5 2 6 9 1 7 8 3 ,4
81,0.01,780467.97,0.16,785501.31,1,No,1287.25,6,No,1 6 3 7 9 2 ,4
82,0.04,787301.31,0.16,792334.65,1,Yes,1341.92,8,Yes,8 4 7 6 5 9 1 3 ,4
83,0.01,794184.66,0.16,799218,1,No,1506.63,8,No,2 8 3 4 9 7 6 5 ,1
84,0.02,801234.67,0.16,806268.01,1,No,1192.67,2,No,3 1 ,9
85,0.01,807968.02,0.16,813001.36,0,No,979.37,8,Yes,5 2 8 7 3 4 9 1 ,2
86,0.02,814484.7,0.16,819518.04,1,No,934.72,2,No,5 7 ,2
87,0.02,820968.05,0.16,826001.39,1,Yes,1924.7,2,Yes,7 8 ,8
88,0.02,828434.73,0.16,833468.07,1,Yes,1568.76,2,Yes,2 5 ,5
89,0.02,835551.41,0.16,840584.75,1,Yes,1740.11,8,Yes,7 3 2 5 9 4 6 1 ,9
90,0.02,842834.75,0.26,847868.09,1,No,1008.81,6,No,9 1 3 4 7 2 ,5
91,0.01,849384.77,0.16,854418.11,1,Yes,1370.84,6,Yes,9 7 1 8 5 4 ,1
92,0.01,856301.44,0.16,861334.79,1,Yes,1126.21,8,Yes,6 2 4 3 1 7 8 9 ,7
93,0.01,862968.12,0.16,868001.47,0,No,1939.58,6,Yes,8 6 1 9 5 7 ,5
94,0.03,870451.47,0.16,875484.82,1,No,1336.24,6,No,5 3 8 9 6 7 ,1
95,0.02,877334.82,0.16,882368.16,1,Yes,972.95,4,Yes,4 3 2 5 ,4
96,0.02,883851.5,0.16,888884.84,0,No,1904.33,4,Yes,9 7 5 6 ,6
97,0.02,891301.51,0.15,896334.85,1,No,1174.63,6,No,4 2 8 3 1 9 ,6
98,0.02,898018.19,0.17,903051.53,1,Yes,1555.65,6,Yes,8 1 9 6 4 3 ,4
99,0.02,905118.2,0.16,910151.55,1,Yes,1069.73,8,Yes,6 3 9 1 2 4 7 8 ,1
100,0.03,911734.89,0.18,916768.23,0,Yes,2349.11,4,No,1 7 9 6 ,3
101,0.02,919618.23,0.25,924651.58,1,No,2145.79,2,No,1 7 ,6
102,0.01,927301.58,0.16,932334.92,1,Yes,1014.49,2,Yes,1 7 ,1
103,0.01,933851.59,0.16,938884.94,0,No,1576.55,2,Yes,6 9 ,6
104,0.01,940968.27,0.17,946001.62,0,No,3270.14,4,Yes,1 9 2 3 ,2
105,0.02,949784.96,0.16,954818.3,1,Yes,1091.81,2,Yes,3 6 ,3
106,0.01,956418.3,0.17,961451.65,1,No,1433.96,2,No,8 3 ,4
107,0.04,963401.65,0.16,968434.99,1,No,2130.66,4,No,5 8 9 7 ,4
108,0.01,971068.33,0.26,976101.68,1,No,1144,6,No,8 1 7 5 3 9 ,2
109,0.01,977751.68,0.16,982785.02,1,No,1172.83,6,No,7 6 8 2 9 5 ,3
110,0.01,984468.36,0.17,989501.7,1,Yes,1888.11,2,Yes,8 7 ,7
111,0.01,991901.78,0.16,996935.05,1,Yes,1390.76,4,Yes,9 5 7 2 ,7
112,0.01,998835.05,0.24,1003868.4,1,No,913.46,8,No,9 3 2 5 7 4 6 8 ,1
113,0.01,1005285.06,0.16,1010318.41,1,No,887.5,8,No,9 2 7 1 4 5 3 8 ,6
114,0.02,1011718.41,0.16,1016751.75,1,No,1254.2,4,No,4 9 3 7 ,6
115,0.02,1018518.42,0.16,1023551.77,1,No,982.23,6,No,7 9 8 3 2 4 ,6
