SubjectName 008,SessionNumber 2,ExperimentName sternbergComp,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Trial,NSPrac-OnsetError,NSPrac-OnsetTime,ProbePrac-OnsetError,ProbePrac-OnsetTime,ProbePrac-Mouse-IsCorrect,ProbePrac-Mouse-Responses,ProbePrac-Mouse-ResponseTime,TrialTable-Condition,TrialTable-CorrectResponse,TrialTable-NumberSets,TrialTable-Probes
1,0.01,31418.28,0.24,36431.81,1,Yes,630.79,4,Yes,1 8 9 6,8
2,0.02,39590.29,0.3,44603.8,0,Yes,5514.69,6,No,1 2 4 7 5 3,6
3,0.02,52642.13,0.3,57655.63,1,Yes,1182.82,4,Yes,3 5 8 4,8
4,0.02,61365.62,0.23,66379.12,1,Yes,931.45,2,Yes,3 9,3
5,0.02,69838.44,0.21,74851.96,0,Yes,2234.51,4,No,5 7 4 1,6
6,0.02,79598.07,0.36,84611.58,1,No,978.78,6,No,5 4 7 6 3 1,2
7,0.02,88104.32,0.22,93117.84,1,No,840.53,2,No,2 3,8
8,0.02,96476.87,0.21,101490.38,1,Yes,1163.99,4,Yes,1 3 8 2,1
9,0.02,105166.95,0.21,110180.46,1,No,865.89,2,No,3 1,5
10,0.02,113572.96,0.21,118586.44,1,No,1323.91,6,No,5 4 7 6 3 1,2
11,0.02,122430.12,0.21,127443.63,1,Yes,1114.57,2,Yes,5 7,7
12,0.02,131070.08,0.21,136083.58,1,No,1106.68,4,No,7 2 5 4,3
13,0.02,139710.02,0.22,144723.52,1,Yes,1042.78,6,Yes,5 3 7 8 4 1,7
14,0.02,148283.11,0.23,153296.62,1,Yes,813.52,6,Yes,1 3 2 5 8 6,3
15,0.02,156622.29,0.22,161635.75,1,Yes,978.43,6,Yes,8 7 9 4 3 6,8
16,0.02,165128.49,0.21,170142,1,No,1424.15,6,No,1 2 4 7 5 3,6
17,0.04,174085.96,0.21,179099.47,1,Yes,738.65,6,Yes,1 3 2 5 8 6,3
18,0.02,182358.24,0.21,187371.75,1,Yes,714.3,2,Yes,2 3,2
19,0.02,190597.11,0.21,195610.61,1,Yes,1211.42,6,Yes,5 3 7 8 4 1,7
20,0.02,199337.32,0.21,204350.86,1,Yes,1055.1,6,Yes,8 7 9 4 3 6,8
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Trial,NumberSet-OnsetError,NumberSet-OnsetTime,Probe-OnsetError,Probe-OnsetTime,Probe-Mouse-IsCorrect,Probe-Mouse-Responses,Probe-Mouse-ResponseTime,TrialTable-Condition,TrialTable-CorrectResponse,TrialTable-NumberSets,TrialTable-Probes
1,0.01,218071.13,0.21,223084.63,1,No,1065.4,6,No,1 6 3 7 9 2 ,4
2,0.02,224655.53,0.21,229669.03,1,No,1336.97,4,No,4 9 3 7 ,6
3,0.02,231507.33,0.21,236520.83,1,No,1365.17,6,No,8 3 2 1 9 5 ,4
4,0.02,238392.54,0.21,243406.04,1,No,1167.88,4,No,5 2 7 1 ,8
5,0.02,245077.21,0.2,250090.72,1,No,1043.22,2,No,1 9 ,4
6,0.02,251644.9,0.21,256658.41,1,No,1243.5,4,No,1 7 4 2 ,8
7,0.02,258413.14,0.25,263426.65,1,No,2299.27,6,No,5 3 8 9 6 7 ,1
8,0.02,266234.21,0.21,271247.72,1,Yes,982.09,8,Yes,3 2 4 8 1 7 5 6 ,1
9,0.02,272735.06,0.21,277748.56,1,Yes,825.3,4,Yes,4 3 9 2 ,4
10,0.02,279085.51,0.21,284099.01,1,Yes,1842.86,6,Yes,8 6 1 4 7 2 ,2
11,0.02,286455.36,0.21,291468.87,1,Yes,872.93,8,Yes,6 3 9 1 2 4 7 8 ,1
12,0.02,292855.94,0.21,297869.44,1,No,1056.37,8,No,5 7 8 1 3 4 2 6 ,9
13,0.02,299440.34,0.2,304453.84,1,No,1303.85,6,No,3 1 7 2 6 9 ,5
14,0.02,306258.71,0.21,311272.21,1,Yes,1317.46,8,Yes,6 3 1 7 2 8 4 5 ,4
15,0.02,313093.79,0.21,318107.3,1,No,1130.4,2,No,2 7 ,4
16,0.02,319745.1,0.21,324758.55,1,No,1471.15,8,No,6 8 7 5 4 2 1 3 ,9
17,0.02,326730.54,0.22,331744.04,1,No,1717.63,6,No,7 9 8 3 2 4 ,6
18,0.02,333966.69,0.21,338980.2,1,Yes,1113.41,8,Yes,6 3 4 9 7 5 1 8 ,5
19,0.02,340601.23,0.21,345614.74,1,Yes,1006.77,2,Yes,6 3 ,3
20,0.02,347135.5,0.21,352149.01,1,Yes,768.47,4,Yes,9 7 5 6 ,6
21,0.02,353419.11,0.21,358432.61,1,Yes,788.98,8,Yes,2 8 1 5 6 4 9 7 ,5
22,0.02,359736.12,0.21,364749.63,0,Yes,2103.97,8,No,2 8 3 4 9 7 6 5 ,1
23,0.02,367356.66,0.21,372370.16,1,No,667.31,2,No,9 7 ,2
24,0.02,373540,0.21,378553.48,1,No,1587.99,6,No,9 1 3 4 7 2 ,5
25,0.02,380642.45,0.25,385655.96,1,Yes,757.49,8,Yes,4 8 5 1 6 9 7 2 ,6
26,0.04,386926.05,0.21,391939.55,1,No,1241.81,8,No,2 8 3 7 9 4 5 6 ,1
27,0.02,393694.27,0.2,398707.78,1,Yes,745.59,4,Yes,1 5 6 8 ,1
28,0.02,399961.16,0.21,404974.68,1,No,1174.68,6,No,1 2 8 4 7 5 ,9
29,0.02,406662.55,0.28,411676.06,1,Yes,1305.26,4,Yes,7 5 3 1 ,1
30,0.02,413497.63,0.21,418511.14,1,No,902.23,4,No,6 1 3 4 ,9
31,0.02,419914.92,0.21,424928.43,1,Yes,1124.97,8,Yes,9 8 5 1 6 4 7 3 ,6
32,0.02,426566.17,0.22,431579.68,1,No,889.66,6,No,2 7 4 1 8 5 ,9
33,0.02,432983.46,0.27,437996.97,1,Yes,768.24,4,Yes,1 3 8 6 ,1
34,0.02,439267.06,0.21,444280.56,1,Yes,908.69,6,Yes,7 1 8 9 2 3 ,2
35,0.02,445701.06,0.2,450714.57,1,No,946.63,6,No,3 1 5 4 2 6 ,7
36,0.02,452168.49,0.21,457181.99,1,Yes,631.24,2,Yes,2 1 ,2
37,0.02,458318.39,0.2,463331.9,1,No,913.34,4,No,6 7 1 5 ,2
38,0.02,464752.39,0.21,469765.9,1,Yes,895.26,6,Yes,8 1 9 6 4 3 ,4
39,0.02,471169.68,0.21,476183.19,1,Yes,1342.03,6,Yes,5 1 2 4 8 9 ,4
40,0.02,478038.19,0.21,483051.69,1,Yes,889.49,6,Yes,9 2 5 8 1 6 ,1
41,0.02,484455.47,0.21,489468.99,1,No,1080.13,2,No,8 5 ,3
42,0.02,491056.59,0.21,496070.1,1,No,1206.94,4,No,6 1 5 3 ,4
43,0.02,497791.41,0.21,502804.91,1,No,1688.18,8,No,7 5 9 3 4 6 8 1 ,2
44,0.02,504994.14,0.21,510007.65,1,Yes,877.42,2,Yes,7 5 ,5
45,0.02,511394.72,0.23,516408.23,1,No,732.78,4,No,4 8 1 5 ,9
46,0.02,517644.89,0.24,522658.4,1,No,954.52,6,No,7 6 8 2 9 5 ,3
47,0.02,524129.03,0.21,529142.53,1,No,1134.49,6,No,7 8 3 9 5 1 ,4
48,0.02,530780.28,0.21,535793.79,1,No,1187.18,2,No,9 5 ,4
49,0.02,537481.67,0.21,542495.18,1,No,893.75,2,No,8 3 ,4
50,0.02,543898.96,0.24,548912.47,1,Yes,1180.54,4,Yes,8 2 1 9 ,2
51,0.02,550600.35,0.21,555613.86,1,No,1495.12,2,No,9 5 ,4
52,0.02,557619.27,0.21,562632.77,1,No,1612.09,2,No,2 3 ,1
53,0.02,564755.16,0.2,569768.66,1,Yes,852.14,4,Yes,5 4 7 3 ,5
54,0.02,571122.31,0.22,576135.82,1,Yes,869.08,8,Yes,3 8 6 4 1 2 9 7 ,2
55,0.02,577506.18,0.21,582519.69,1,No,1485.15,8,No,5 3 7 2 4 1 8 6 ,9
56,0.02,584508.39,0.21,589521.89,1,Yes,762.96,6,Yes,8 6 1 9 5 7 ,5
57,0.02,590791.97,0.21,595805.48,1,Yes,783.34,2,Yes,6 4 ,6
58,0.02,597092.28,0.23,602105.79,1,Yes,714.99,8,Yes,2 7 8 1 4 5 6 9 ,2
59,0.02,603325.74,0.2,608339.25,1,No,897.44,4,No,6 1 5 7 ,9
60,0.02,609743.03,0.21,614756.54,1,No,1216.22,2,No,7 6 ,9
61,0.02,616477.85,0.21,621491.37,0,No,2801.31,8,Yes,7 9 1 5 8 2 4 6 ,4
62,0.02,624800.27,0.21,629813.78,1,No,782.83,2,No,3 2 ,5
