SubjectName Mt,SessionNumber 2,ExperimentName sternbergComp,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Trial,NSPrac-OnsetError,NSPrac-OnsetTime,ProbePrac-OnsetError,ProbePrac-OnsetTime,ProbePrac-Mouse-IsCorrect,ProbePrac-Mouse-Responses,ProbePrac-Mouse-ResponseTime,TrialTable-Condition,TrialTable-CorrectResponse,TrialTable-NumberSets,TrialTable-Probes
38,0.02,524728.57,0.16,529761.92,1,Yes,1602.14,4,Yes,1 9 2 3 ,2
39,0.02,531878.59,0.16,536911.93,1,No,1132.16,8,No,2 8 3 4 9 7 6 5 ,1
40,0.01,538545.27,0.27,543578.61,1,No,817.51,4,No,5 3 4 6 ,8
41,0.02,544911.95,0.22,549945.29,1,No,1074.89,8,No,5 3 7 2 4 1 8 6 ,9
42,0.02,551528.63,0.16,556561.97,1,Yes,1194.26,2,Yes,7 8 ,8
43,0.01,558261.97,0.16,563295.31,1,No,1412.94,4,No,7 8 2 3 ,6
44,0.02,565211.98,0.17,570245.33,1,No,1382.99,2,No,9 7 ,3
45,0.01,572128.66,0.15,577162.01,1,Yes,1610.46,6,Yes,8 5 1 6 3 4 ,4
46,0.01,579278.68,0.17,584312.02,0,No,932.32,8,Yes,4 8 5 1 6 9 7 2 ,6
47,0.01,585745.36,0.16,590778.7,1,No,1673.72,6,No,1 6 7 2 9 4 ,8
48,0.01,592962.04,0.17,597995.38,1,Yes,1241.08,2,Yes,2 1 ,2
49,0.01,599745.38,0.15,604778.73,1,No,993.78,6,No,1 2 8 4 7 5 ,9
50,0.01,606278.73,0.17,611312.07,0,Yes,1292.45,2,No,2 7 ,4
51,0.02,613112.08,0.16,618145.42,1,Yes,715.19,6,Yes,9 5 6 8 1 2 ,2
52,0.01,619362.09,0.16,624395.43,1,Yes,657.21,4,Yes,1 3 4 9 ,3
53,0.01,625562.1,0.16,630595.44,1,Yes,5689.27,8,Yes,9 8 5 1 6 4 7 3 ,6
54,0.01,636795.46,0.17,641828.8,1,Yes,943.94,6,Yes,1 4 9 6 8 7 ,7
55,0.01,643278.8,0.16,648312.14,1,Yes,796.66,8,Yes,2 8 1 5 6 4 9 7 ,5
56,0.01,649612.15,0.17,654645.49,1,Yes,735.31,6,Yes,7 1 4 3 9 2 ,3
57,0.01,655895.49,0.16,660928.83,0,No,1436.01,8,Yes,8 9 5 2 1 4 7 6 ,6
58,0.01,662878.84,0.16,667912.18,1,No,3156.69,8,No,7 5 9 3 4 6 8 1 ,2
59,0.01,671578.86,0.16,676612.2,1,Yes,1609.21,4,Yes,3 5 6 2 ,6
